time,parameter,value,se
-40,,,
-20,Fv/Fm ,0.83025,0.001782776
-15,Fv'/Fm' (XE),0.81805,0.001810023
-10,Fv'/Fm' (XE),0.8217,0.001897505
-5,Fv'/Fm' (XE),0.81985,0.001851422
0,Fv'/Fm' (XE),0.8165,0.001864488
5,Fv'/Fm' (XE),0.72025,0.002001151
10,Fv'/Fm' (XE),0.72015,0.00200824
15,Fv'/Fm' (XE),0.72025,0.00201687
20,Fv'/Fm' (XE),0.71615,0.00177449
25,Fv'/Fm' (XE),0.7115,0.001694418
30,Fv'/Fm' (XE),0.70745,0.001494684
35,Fv'/Fm' (XE),0.70465,0.001429529
40,Fv'/Fm' (XE),0.70155,0.001407639
45,Fv'/Fm' (XE),0.69905,0.001381218
50,Fv'/Fm' (XE),0.69695,0.001358162
55,Fv'/Fm' (XE),0.69355,0.001332736
60,Fv'/Fm' (XE),0.69105,0.001340611
65,Fv'/Fm' (XE),0.6882,0.001356466
70,Fv'/Fm' (XE),0.68565,0.001458685
75,Fv'/Fm' (XE),0.68395,0.001466243
80,Fv'/Fm' (XE),0.6812,0.001512405
85,Fv'/Fm' (XE),0.6792,0.001593738
90,Fv'/Fm' (XE),0.67675,0.001688779
