parameter,time,value,se
Fq'/Fv' (PQ),-40,,
Fq'/Fv' (PQ),-20,,
Fq'/Fv' (PQ),-15,0.86495,0.001802739
Fq'/Fv' (PQ),-10,0.86395,0.00274866
Fq'/Fv' (PQ),-5,0.8731,0.0029
Fq'/Fv' (PQ),0,0.88895,0.002379158
Fq'/Fv' (PQ),5,0.5164,0.003371241
Fq'/Fv' (PQ),10,0.5662,0.003447043
Fq'/Fv' (PQ),15,0.58445,0.002904149
Fq'/Fv' (PQ),20,0.60325,0.003888495
Fq'/Fv' (PQ),25,0.62235,0.003685873
Fq'/Fv' (PQ),30,0.6294,0.003118198
Fq'/Fv' (PQ),35,0.6397,0.00275786
Fq'/Fv' (PQ),40,0.6523,0.002935356
Fq'/Fv' (PQ),45,0.64355,0.00274866
Fq'/Fv' (PQ),50,0.6506,0.002876767
Fq'/Fv' (PQ),55,0.6529,0.002961063
Fq'/Fv' (PQ),60,0.6502,0.002495891
Fq'/Fv' (PQ),65,0.6606,0.002904987
Fq'/Fv' (PQ),70,0.65945,0.002959796
Fq'/Fv' (PQ),75,0.66335,0.002839825
Fq'/Fv' (PQ),80,0.65895,0.003623371
Fq'/Fv' (PQ),85,0.6562,0.003028461
Fq'/Fv' (PQ),90,0.6613,0.003237202
Fm/Fm'-1 (NPQ),-15,0.12125,0.017803293
Fm/Fm'-1 (NPQ),-10,0.13865,0.04594512
Fm/Fm'-1 (NPQ),-5,0.1763,0.055276773
Fm/Fm'-1 (NPQ),0,0.22035,0.057203711
Fm/Fm'-1 (NPQ),5,0.9902,0.040521119
Fm/Fm'-1 (NPQ),10,1.0239,0.044304384
Fm/Fm'-1 (NPQ),15,1.03645,0.04355713
Fm/Fm'-1 (NPQ),20,1.09895,0.045635598
Fm/Fm'-1 (NPQ),25,1.1566,0.045018967
Fm/Fm'-1 (NPQ),30,1.20905,0.047875413
Fm/Fm'-1 (NPQ),35,1.25165,0.048551019
Fm/Fm'-1 (NPQ),40,1.2929,0.049822258
Fm/Fm'-1 (NPQ),45,1.3313,0.051709263
Fm/Fm'-1 (NPQ),50,1.36315,0.053125189
Fm/Fm'-1 (NPQ),55,1.40335,0.054332324
Fm/Fm'-1 (NPQ),60,1.43625,0.05551699
Fm/Fm'-1 (NPQ),65,1.4757,0.05252659
Fm/Fm'-1 (NPQ),70,1.5169,0.055095988
Fm/Fm'-1 (NPQ),75,1.53725,0.055060535
Fm/Fm'-1 (NPQ),80,1.5928,0.05641046
Fm/Fm'-1 (NPQ),85,1.6305,0.055193273
Fm/Fm'-1 (NPQ),90,1.6684,0.057217701
