"","ID","Line","min","treat1","group","N","value","sd","se","ci"
"1","id","ND3033","0","Dark","ND3033_Dark",4,29.2248096075504,15.5920373598551,7.79601867992755,24.8104108438582
"2","id","ND3033","0","HL","ND3033_HL",4,32.416301375858,6.20768715453311,3.10384357726656,9.87781552465052
"3","id","ND3033","10","Dark","ND3033_Dark",4,43.0985909281371,6.58667255978065,3.29333627989033,10.4808658759938
"4","id","ND3033","10","HL","ND3033_HL",4,48.5994483738236,12.2084099699825,6.10420498499123,19.4263046011797
"5","id","ND3033","15","Dark","ND3033_Dark",4,42.4369341447299,6.08879776713543,3.04439888356772,9.68863597881992
"6","id","ND3033","15","HL","ND3033_HL",4,46.6262234055504,24.7520915746862,12.3760457873431,39.3861011899521
"7","id","ND3033","20","Dark","ND3033_Dark",4,43.9158694724633,5.28068830116081,2.64034415058041,8.40275348669206
"8","id","ND3033","20","HL","ND3033_HL",4,51.0361952720824,7.26283847493696,3.63141923746848,11.5567967352177
"9","id","ND3033","30","Dark","ND3033_Dark",4,41.7948426551415,11.0605927208068,5.53029636040339,17.5998712192897
"10","id","ND3033","30","HL","ND3033_HL",4,56.6449933410519,30.1967680432763,15.0983840216382,48.049796445417
"11","id","ND3033","5","Dark","ND3033_Dark",4,32.7183911084364,9.07602722398068,4.53801361199034,14.4419846528058
"12","id","ND3033","5","HL","ND3033_HL",4,38.6389617008402,11.8095685433717,5.90478427168584,18.791658888924
"13","id","ND3033","60","Dark","ND3033_Dark",4,43.9505871156814,11.4521797066153,5.72608985330764,18.2229734973814
"14","id","ND3033","60","HL","ND3033_HL",4,68.4305912786268,12.2890379948214,6.14451899741068,19.5546017810552
"15","id","NF1015","0","Dark","NF1015_Dark",4,34.7852776977345,14.0071502885438,7.00357514427191,22.2885018416649
"16","id","NF1015","0","HL","NF1015_HL",4,36.134852018519,13.4421555145587,6.72107775727935,21.3894690761782
"17","id","NF1015","10","Dark","NF1015_Dark",4,42.7080583938882,12.93551878516,6.46775939257998,20.5832969823802
"18","id","NF1015","10","HL","NF1015_HL",4,49.5163809971015,13.1836628232203,6.59183141161015,20.9781495209318
"19","id","NF1015","15","Dark","NF1015_Dark",4,41.9789788442729,8.24510904817923,4.12255452408961,13.1198084135196
"20","id","NF1015","15","HL","NF1015_HL",4,52.5953613653049,11.2669064358747,5.63345321793737,17.9281623794134
"21","id","NF1015","20","Dark","NF1015_Dark",4,44.1699332067105,4.31993086505917,2.15996543252959,6.87397401029431
"22","id","NF1015","20","HL","NF1015_HL",4,51.6603127154357,3.96469637833346,1.98234818916673,6.30871667039951
"23","id","NF1015","30","Dark","NF1015_Dark",4,48.4812090360586,6.90912261399587,3.45456130699793,10.9939558678316
"24","id","NF1015","30","HL","NF1015_HL",4,64.7254868403158,8.95510611000631,4.47755305500315,14.2495721766066
"25","id","NF1015","5","Dark","NF1015_Dark",4,43.3459221662034,8.45200666436291,4.22600333218146,13.4490286906175
"26","id","NF1015","5","HL","NF1015_HL",4,48.9102395632656,5.21959439774119,2.60979719887059,8.30553945308549
"27","id","NF1015","60","Dark","NF1015_Dark",4,51.6326443032672,7.09586168861367,3.54793084430684,11.2910994068664
"28","id","NF1015","60","HL","NF1015_HL",4,71.1193521847834,4.95427042357797,2.47713521178899,7.88334980244603
"29","id","NIP","0","Dark","NIP_Dark",8,34.5926990691347,11.8972116994877,4.20629953495985,9.94631788982951
"30","id","NIP","0","HL","NIP_HL",8,30.6576422189515,8.87184349547973,3.13667034863974,7.41704677564553
"31","id","NIP","10","Dark","NIP_Dark",8,37.9350242714498,11.3866506425912,4.02578894218921,9.51947816449466
"32","id","NIP","10","HL","NIP_HL",8,56.9868995364884,9.83109104582658,3.47581557248316,8.21899779675754
"33","id","NIP","15","Dark","NIP_Dark",8,34.7055010943535,10.7833847704064,3.81250224764907,9.01513527404298
"34","id","NIP","15","HL","NIP_HL",8,61.2281107997967,32.8895507992108,11.6282122001507,27.4963525711434
"35","id","NIP","20","Dark","NIP_Dark",8,40.8138829751988,12.7181312230054,4.49653841590375,10.6326237864646
"36","id","NIP","20","HL","NIP_HL",8,76.7916122245897,23.9282540427559,8.45991534779356,20.0045209978146
"37","id","NIP","30","Dark","NIP_Dark",8,39.80741724795,11.3744257987003,4.0214668071821,9.5092579392382
"38","id","NIP","30","HL","NIP_HL",8,82.1545705393713,5.65751461576967,2.00023347473637,4.72980058320932
"39","id","NIP","5","Dark","NIP_Dark",8,37.9223548052321,8.87639403272403,3.13827920651148,7.42085111998642
"40","id","NIP","5","HL","NIP_HL",8,54.6964665414247,22.9182094924585,8.10281067238564,19.1601026219879
"41","id","NIP","60","Dark","NIP_Dark",8,47.4158796758726,11.4912913856949,4.06278503170771,9.6069600149842
"42","id","NIP","60","HL","NIP_HL",8,93.3409378768376,7.80419663424105,2.75920018089254,6.52447166273769
