"","ID","Type","treat1","time","treat2","group","group1","N","value","sd","se","ci"
"1","id","Etio","DAB","0","ck","Etio_DAB_ck","Etio_DAB",4,23.7914126475223,16.8557960774256,8.42789803871279,26.8213329746093
"2","id","Etio","DAB","0","treat","Etio_DAB_treat","Etio_DAB",4,29.7228709132704,10.6060264059611,5.30301320298057,16.8765547746962
"3","id","Etio","DAB","10","ck","Etio_DAB_ck","Etio_DAB",4,28.3363448292282,5.02695143438826,2.51347571719413,7.99900150960478
"4","id","Etio","DAB","10","treat","Etio_DAB_treat","Etio_DAB",4,45.0433962813997,5.53763923755346,2.76881961877673,8.81161976577304
"5","id","Etio","DAB","15","ck","Etio_DAB_ck","Etio_DAB",4,35.4897384197398,8.28361143796479,4.1418057189824,13.1810743075785
"6","id","Etio","DAB","15","treat","Etio_DAB_treat","Etio_DAB",4,47.4393944030635,7.98549210276967,3.99274605138483,12.7066999191658
"7","id","Etio","DAB","20","ck","Etio_DAB_ck","Etio_DAB",4,40.0820927056225,3.90318661724952,1.95159330862476,6.21084091444927
"8","id","Etio","DAB","20","treat","Etio_DAB_treat","Etio_DAB",4,60.7172387180991,14.1408890830132,7.07044454150658,22.501310107831
"9","id","Etio","DAB","30","ck","Etio_DAB_ck","Etio_DAB",4,40.3538038024365,4.4189519951468,2.2094759975734,7.03153872509051
"10","id","Etio","DAB","30","treat","Etio_DAB_treat","Etio_DAB",4,74.7030688975073,9.87610864035464,4.93805432017732,15.7150927265386
"11","id","Etio","DAB","5","ck","Etio_DAB_ck","Etio_DAB",4,32.4442331009104,8.72056015803195,4.36028007901597,13.8763572274665
"12","id","Etio","DAB","5","treat","Etio_DAB_treat","Etio_DAB",4,34.2902865706473,2.67694200799476,1.33847100399738,4.25961210140083
"13","id","Etio","DAB","60","ck","Etio_DAB_ck","Etio_DAB",4,46.1301287203148,6.59574071253665,3.29787035626832,10.4952953306108
"14","id","Etio","DAB","60","treat","Etio_DAB_treat","Etio_DAB",4,90.8608336254848,3.95480197467483,1.97740098733741,6.29297246621631
"15","id","Etio","Imi","0","ck","Etio_Imi_ck","Etio_Imi",4,24.9988478622869,6.65588368835968,3.32794184417984,10.5909962262092
"16","id","Etio","Imi","0","treat","Etio_Imi_treat","Etio_Imi",4,25.8533014620499,13.2557359404472,6.62786797022359,21.0928339337463
"17","id","Etio","Imi","10","ck","Etio_Imi_ck","Etio_Imi",4,30.5810926381003,8.83134358314362,4.41567179157181,14.0526383784332
"18","id","Etio","Imi","10","treat","Etio_Imi_treat","Etio_Imi",4,31.1764253581402,7.31175303054225,3.65587651527112,11.6346307085981
"19","id","Etio","Imi","15","ck","Etio_Imi_ck","Etio_Imi",4,33.3084876250641,9.25333203908684,4.62666601954342,14.7241161796776
"20","id","Etio","Imi","15","treat","Etio_Imi_treat","Etio_Imi",4,31.5767024957017,13.0331901906557,6.51659509532785,20.738713984156
"21","id","Etio","Imi","20","ck","Etio_Imi_ck","Etio_Imi",4,39.418745663042,7.47664944282,3.73832472141,11.897017697602
"22","id","Etio","Imi","20","treat","Etio_Imi_treat","Etio_Imi",4,35.4619966236518,5.30070743231996,2.65035371615998,8.43460839168827
"23","id","Etio","Imi","30","ck","Etio_Imi_ck","Etio_Imi",4,36.3544976704725,9.43432888473929,4.71716444236964,15.012122551035
"24","id","Etio","Imi","30","treat","Etio_Imi_treat","Etio_Imi",4,40.2868857709341,6.64639266120051,3.32319633060025,10.5758938840512
"25","id","Etio","Imi","5","ck","Etio_Imi_ck","Etio_Imi",4,29.0561462341445,9.99264909265189,4.99632454632594,15.9005345924533
"26","id","Etio","Imi","5","treat","Etio_Imi_treat","Etio_Imi",4,33.3265152195691,9.84875157811443,4.92437578905721,15.6715615357137
"27","id","Etio","Imi","60","ck","Etio_Imi_ck","Etio_Imi",4,39.1180060269298,5.96016875182114,2.98008437591057,9.4839585115503
"28","id","Etio","Imi","60","treat","Etio_Imi_treat","Etio_Imi",4,44.5278344979924,10.7057307260115,5.35286536300576,17.0352065971788
"29","id","Green","DAB","0","ck","Green_DAB_ck","Green_DAB",4,28.9293783797191,7.90824438048288,3.95412219024144,12.5837815549742
"30","id","Green","DAB","0","treat","Green_DAB_treat","Green_DAB",4,25.4549225682707,10.5293792084618,5.26468960423089,16.7545919794502
"31","id","Green","DAB","10","ck","Green_DAB_ck","Green_DAB",4,39.8020754685099,11.699201108096,5.849600554048,18.6160396706156
"32","id","Green","DAB","10","treat","Green_DAB_treat","Green_DAB",4,66.6679571170549,15.0508501964649,7.52542509823247,23.9492612995592
"33","id","Green","DAB","15","ck","Green_DAB_ck","Green_DAB",4,41.6440544687836,2.06780067128041,1.03390033564021,3.29033230318976
"34","id","Green","DAB","15","treat","Green_DAB_treat","Green_DAB",4,84.1691389705309,12.3648377050225,6.18241885251124,19.6752160348908
"35","id","Green","DAB","20","ck","Green_DAB_ck","Green_DAB",4,45.9396491477763,5.86088668053573,2.93044334026786,9.32597858107871
"36","id","Green","DAB","20","treat","Green_DAB_treat","Green_DAB",4,90.9459202320131,14.2301096602053,7.11505483010265,22.6432799559512
"37","id","Green","DAB","30","ck","Green_DAB_ck","Green_DAB",4,50.7142648309285,2.96088166576697,1.48044083288349,4.71142345880119
"38","id","Green","DAB","30","treat","Green_DAB_treat","Green_DAB",4,101.266851205806,7.49002303342971,3.74501151671485,11.9182980646141
"39","id","Green","DAB","5","ck","Green_DAB_ck","Green_DAB",4,35.0097299224606,9.93756438640675,4.96878219320338,15.8128825325196
"40","id","Green","DAB","5","treat","Green_DAB_treat","Green_DAB",4,57.4615569650312,8.8888270517008,4.4444135258504,14.1441074044955
"41","id","Green","DAB","60","ck","Green_DAB_ck","Green_DAB",4,56.1595229184811,6.54499816066154,3.27249908033077,10.414552607243
"42","id","Green","DAB","60","treat","Green_DAB_treat","Green_DAB",4,113.449216762468,13.0108758217058,6.5054379108529,20.7032068436464
"43","id","Green","Imi","0","ck","Green_Imi_ck","Green_Imi",4,34.9472727190768,8.25370544299922,4.12685272149961,13.1334871959864
"44","id","Green","Imi","0","treat","Green_Imi_treat","Green_Imi",4,29.0836409719802,8.15591906372462,4.07795953186231,12.9778872452717
"45","id","Green","Imi","10","ck","Green_Imi_ck","Green_Imi",4,42.894230180794,6.78656341724282,3.39328170862141,10.798936836389
"46","id","Green","Imi","10","treat","Green_Imi_treat","Green_Imi",4,50.9146346721136,2.47197239575349,1.23598619787674,3.9334597088145
"47","id","Green","Imi","15","ck","Green_Imi_ck","Green_Imi",4,41.9164882422461,5.54822235483074,2.77411117741537,8.82845986701178
"48","id","Green","Imi","15","treat","Green_Imi_treat","Green_Imi",4,57.8309694974285,4.01914798270992,2.00957399135496,6.39536132398183
"49","id","Green","Imi","20","ck","Green_Imi_ck","Green_Imi",4,40.4632023692846,6.7020667320668,3.3510333660334,10.6644837546154
"50","id","Green","Imi","20","treat","Green_Imi_treat","Green_Imi",4,62.3658343027998,4.56584723520642,2.28292361760321,7.26528183208625
"51","id","Green","Imi","30","ck","Green_Imi_ck","Green_Imi",4,45.2221993850102,6.49454826737368,3.24727413368684,10.334275568995
"52","id","Green","Imi","30","treat","Green_Imi_treat","Green_Imi",4,67.7790090797919,7.18373538136175,3.59186769068087,11.4309260612753
"53","id","Green","Imi","5","ck","Green_Imi_ck","Green_Imi",4,36.4161698998299,5.20861019063985,2.60430509531992,8.28806112843242
"54","id","Green","Imi","5","treat","Green_Imi_treat","Green_Imi",4,40.658153276956,11.0759253321042,5.5379626660521,17.6242688253766
"55","id","Green","Imi","60","ck","Green_Imi_ck","Green_Imi",4,55.7606822784131,3.49469730604233,1.74734865302116,5.56084326484967
"56","id","Green","Imi","60","treat","Green_Imi_treat","Green_Imi",4,79.2497594995744,5.43657424544266,2.71828712272133,8.65080281040477
