"","ID","treat1","time","treat2","group","N","value","sd","se","ci"
"1","id","DAB","0","CK","DAB_CK",4,24.8390712699292,10.2220729443899,5.11103647219493,16.265599137107
"2","id","DAB","0","HL","DAB_HL",4,32.5614484939364,19.3769341793134,9.68846708965668,30.8330262933407
"3","id","DAB","10","CK","DAB_CK",4,36.0883008940728,11.5740556813639,5.78702784068194,18.4169053701522
"4","id","DAB","10","HL","DAB_HL",4,66.4395572962537,15.3941859724716,7.69709298623578,24.4955851354712
"5","id","DAB","15","CK","DAB_CK",4,42.6988762406664,7.08587064273332,3.54293532136666,11.2752014233425
"6","id","DAB","15","HL","DAB_HL",4,71.2796780831044,14.1483087204931,7.07415436024654,22.5131164067732
"7","id","DAB","20","CK","DAB_CK",4,42.5767241667537,8.82804543080132,4.41402271540066,14.0473902820652
"8","id","DAB","20","HL","DAB_HL",4,77.7198376914628,11.24482669787,5.62241334893501,17.893028589096
"9","id","DAB","30","CK","DAB_CK",4,44.139955027182,7.46298832132544,3.73149416066272,11.8752798047888
"10","id","DAB","30","HL","DAB_HL",4,85.8871141021903,12.4640800653218,6.23204003266091,19.8331327763219
"11","id","DAB","5","CK","DAB_CK",4,29.2927509478311,10.7313020151065,5.36565100755323,17.0758962244296
"12","id","DAB","5","HL","DAB_HL",4,51.9523722119165,8.29289845919192,4.14644922959596,13.1958520307741
"13","id","DAB","60","CK","DAB_CK",4,48.7987007400427,10.540058086315,5.27002904315752,16.7715844571345
"14","id","DAB","60","HL","DAB_HL",4,95.9934053658759,8.92847292600913,4.46423646300456,14.2071928376017
"15","id","LaCL3","0","CK","LaCL3_CK",4,21.4430523724768,7.43071394344907,3.71535697172454,11.8239240674748
"16","id","LaCL3","0","HL","LaCL3_HL",4,21.802615675681,7.86471059671198,3.93235529835599,12.5145095903158
"17","id","LaCL3","10","CK","LaCL3_CK",4,36.9088632004188,10.8157069264698,5.40785346323488,17.2102032735876
"18","id","LaCL3","10","HL","LaCL3_HL",4,52.1177910006354,13.0256062128673,6.51280310643367,20.7266461831101
"19","id","LaCL3","15","CK","LaCL3_CK",4,37.2236202265865,7.59041550363075,3.79520775181537,12.0780448875489
"20","id","LaCL3","15","HL","LaCL3_HL",4,52.3859582148433,17.2643673564757,8.63218367823785,27.4714610533384
"21","id","LaCL3","20","CK","LaCL3_CK",4,38.9649174095488,10.3814719051049,5.19073595255243,16.5192384539038
"22","id","LaCL3","20","HL","LaCL3_HL",4,57.7210526015115,13.7480830835386,6.87404154176931,21.8762681069705
"23","id","LaCL3","30","CK","LaCL3_CK",4,41.1542424370017,7.25457884511231,3.62728942255615,11.5436538210085
"24","id","LaCL3","30","HL","LaCL3_HL",4,61.400509790273,4.88279933242896,2.44139966621448,7.76962334746516
"25","id","LaCL3","5","CK","LaCL3_CK",4,30.0121788664122,3.48558444955335,1.74279222477667,5.5463426766177
"26","id","LaCL3","5","HL","LaCL3_HL",4,44.6611880633194,6.26847065419074,3.13423532709537,9.97453563660434
"27","id","LaCL3","60","CK","LaCL3_CK",4,44.079377256709,8.42843521396193,4.21421760698096,13.4115212529981
"28","id","LaCL3","60","HL","LaCL3_HL",4,65.2655206632082,6.34626867840037,3.17313433920018,10.0983296539565
